en_text,fr_text
We need to move towards individual manufacturer' s liability.,Nous devons nous diriger vers une responsabilité individuelle du producteur.
"Investment in these areas brings an almost guaranteed return, not only in the area of tourism, which is surely a significant component of many regional economies, but also in foreign policy.","L'investissement dans ces domaines offre un retour presque garanti, non seulement dans le domaine du tourisme, qui est assurément une composante significative de nombreuses économies régionales, mais aussi dans le domaine de la politique étrangère."
"Entering into contact with the President of Parliament is a first step, but many more steps must follow, and above all must follow quickly.","Prendre contact avec le Président du Parlement est un premier pas, mais il en faudra d'autres et rapidement."
"(PT) Mrs McGuinness, as I said, the Council's assessment is that the application of this Regulation, in other words the use of the Solidarity Fund, has been effective.","(PT) Mme McGuinness, comme je l'ai dit, l'évaluation du Conseil est que l'application de ce règlement, en d'autres termes du Fonds de solidarité, a été efficace."
The institutions of the European Union have to provide a more precise definition of a stronger Neighbourhood Policy.,Les institutions de l'Union européenne doivent donner une définition plus précise à une politique de voisinage plus forte.
I realise that the Commissioner has other appointments and is substituting for a colleague.,Je comprends que le commissaire a d'autres obligations et remplace un collègue.
"The Baltic countries should also, however, participate more robustly in this peace and stability development.",Les États baltes devraient contribuer plus activement à la consolidation de la paix et de la stabilité.
"We must draft framework legislation and delegate the details to the Commission and the experts, but that can only be done provided that Parliament has the call-back right.","Nous devons rédiger une législation-cadre et laisser les détails à la Commission et aux experts, ce qui n’est cependant possible que si le Parlement peut exercer son droit de rappel."
"Apart from the financial losses suffered by SMEs, particularly affected by this legislation, these Member States' practices represent an extra administrative burden for the entrepreneurs in question.","Outre les pertes financières subies par les PME, qui sont particulièrement touchées par cette législation, les pratiques de ces États membres représentent une charge administrative supplémentaire pour les chefs d'entreprise concernés."
Be clear on the matter and say that you withdraw this proposal!,Soyez clair là-dessus et dites que vous retirez cette proposition!
"In addition, cultural industries and creators, including SMEs, due to their dual cultural and economic roles, contribute both to promoting cultural diversity and to creating new jobs and possibilities for economic development and, given that they are part of one of the most dynamic sectors our economy, aid for the creative sector should be seen as an investment.","En outre, les industries culturelles et les créateurs, y compris les PME en raison de leur double rôle culturel et économique, contribuent à la fois à promouvoir la diversité culturelle et à créer de nouveaux emplois et de nouvelles possibilités de développement économique; et vu qu'ils font partie d'un des secteurs les plus dynamiques de notre économie, toute aide au secteur créatif doit être considérée comme un investissement."
Then we will decide.,"Ensuite, nous prendrons notre décision."
